epoch,accuracy,loss,val_accuracy,val_loss
0,0.22226479649543762,1.9962594509124756,0.2439398169517517,1.8463574647903442
1,0.24090006947517395,1.8435471057891846,0.2607968747615814,1.7901270389556885
2,0.2468215525150299,1.827152132987976,0.25912511348724365,1.777262806892395
3,0.2496081441640854,1.8212589025497437,0.265254944562912,1.7709543704986572
4,0.2535441815853119,1.8176050186157227,0.2574533224105835,1.775192379951477
5,0.25288236141204834,1.8127739429473877,0.2659515142440796,1.767981767654419
6,0.2526385486125946,1.8115967512130737,0.25759264826774597,1.7668426036834717
7,0.2535093426704407,1.8041893243789673,0.2695736885070801,1.7716962099075317
8,0.2566094398498535,1.8018897771835327,0.26609084010124207,1.7453800439834595
9,0.25943082571029663,1.7943004369735718,0.2842017412185669,1.7266528606414795
10,0.2610679566860199,1.7894749641418457,0.2504875957965851,1.8009811639785767
11,0.2669197916984558,1.7814538478851318,0.29311785101890564,1.7015187740325928
12,0.26963669061660767,1.77682626247406,0.30300918221473694,1.6841273307800293
13,0.2734334170818329,1.7656497955322266,0.29520758986473083,1.7597322463989258
